Source	Target
Eagle Eye	독수리의 눈
Earth Stone	땅의 바위
East Empire Company	동제국 회사
East Empire Company Amulet	동제국 회사 아뮬렛
East Empire Company Ship	동제국 회사 선박
East Empire Company Strongbox	동제국 회사 튼튼한 상자
East Empire Company Warehouse	동제국 회사 창고
East Empire Company?	동제국 회사?
East Empire Company? Who are they?	동제국 회사라고? 뭐하는 놈들이지?
East Empire Connection	동제국 회사 연락
East Empire Dockmaster	동제국 회사 부두 관리인
East Empire Dockworker	동제국 회사 부두 노동자
East Empire Mercenary	동제국 회사 용병
East Empire Office Key	열쇠 - 동제국 회사 사무실
East Empire Pendant	동제국 회사 펜던트
East Empire Shipping Map	동제국 해상운송 지도
East Empire Warden	동제국 회사 감독관
East Empire Warehouse	동제국 회사 창고
East Empire Warehouse Key	열쇠 - 동제국 회사 창고
Eastmarch	이스트마치
Eastmarch Guard Helmet	이스트마치 경비병 투구
Eastmarch Imperial Camp	이스트마치 제국군 주둔지
Easy, it's nine.	쉽지, 그건 아홉이야.
Eat an ingredient to learn its properties and slightly raise the Alchemy skill.	시약을 먹어보면 그 효과를 알 수 있으며, 연금술이 약간 향상됩니다.
Eat.	먹기
Eavesdrop on Cicero	시세로의 말을 엿듣기
Ebonmere Lock	에본미어 자물쇠
EBONY	에보니
Ebony Armor	에보니 방어구
Ebony Armor of Eminent Alteration	에보니 방어구 - 상급 변화마법
Ebony Armor of Eminent Conjuring	에보니 방어구 - 상급 소환마법
Ebony Armor of Eminent Destruction	에보니 방어구 - 상급 파괴마법
Ebony Armor of Eminent Health	에보니 방어구 - 상급 체력 증가
Ebony Armor of Eminent Illusion	에보니 방어구 - 상급 환영마법
Ebony Armor of Eminent Restoration	에보니 방어구 - 상급 회복마법
Ebony Armor of Extreme Alteration	에보니 방어구 - 최상급 변화마법
Ebony Armor of Extreme Conjuring	에보니 방어구 - 최상급 소환마법
Ebony Armor of Extreme Destruction	에보니 방어구 - 최상급 파괴마법
Ebony Armor of Extreme Health	에보니 방어구 - 최상급 체력 증가
Ebony Armor of Extreme Illusion	에보니 방어구 - 최상급 환영마법
Ebony Armor of Extreme Restoration	에보니 방어구 - 최상급 회복마법
Ebony Armor of Invigoration	에보니 방어구 - 최상급 지구력 재생
Ebony Armor of Major Alteration	에보니 방어구 - 중급 변화마법
Ebony Armor of Major Conjuring	에보니 방어구 - 중급 소환마법
Ebony Armor of Major Destruction	에보니 방어구 - 중급 파괴마법
Ebony Armor of Major Health	에보니 방어구 - 중급 체력 증가
Ebony Armor of Major Illusion	에보니 방어구 - 중급 환영마법
Ebony Armor of Major Restoration	에보니 방어구 - 중급 회복마법
Ebony Armor of Mending	에보니 방어구 - 상급 체력 재생
Ebony Armor of Recuperation	에보니 방어구 - 중급 지구력 재생
Ebony Armor of Regeneration	에보니 방어구 - 최상급 체력 재생
Ebony Armor of Rejuvenation	에보니 방어구 - 상급 지구력 재생
Ebony Armor of Remedy	에보니 방어구 - 중급 체력 재생
Ebony Armor of the Eminent Knight	에보니 방어구 - 상급 중갑
Ebony Armor of the Major Knight	에보니 방어구 - 중급 중갑
Ebony Armor of the Noble Knight	에보니 방어구 - 최상급 중갑
Ebony Arrow	화살 - 에보니
Ebony Battleaxe	에보니 전투 도끼
Ebony Battleaxe of Animus	에보니 전투 도끼 - 상급 소울 트랩
Ebony Battleaxe of Annihilating	에보니 전투 도끼 - 특급 추방
Ebony Battleaxe of Banishing	에보니 전투 도끼 - 상급 추방
Ebony Battleaxe of Blizzards	에보니 전투 도끼 - 최상급 냉기
Ebony Battleaxe of Damnation	에보니 전투 도끼 - 특급 소울 트랩
Ebony Battleaxe of Debilitation	에보니 전투 도끼 - 상급 지구력 피해
Ebony Battleaxe of Depleting	에보니 전투 도끼 - 상급 매지카 피해
Ebony Battleaxe of Despair	에보니 전투 도끼 - 상급 공포
Ebony Battleaxe of Devouring	에보니 전투 도끼 - 상급 체력 흡수
Ebony Battleaxe of Dread	에보니 전투 도끼 - 최상급 공포
Ebony Battleaxe of Enervating	에보니 전투 도끼 - 최상급 매지카 피해
Ebony Battleaxe of Evoking	에보니 전투 도끼 - 최상급 매지카 흡수
Ebony Battleaxe of Exhaustion	에보니 전투 도끼 - 특급 지구력 피해
Ebony Battleaxe of Expelling	에보니 전투 도끼 - 최상급 추방
Ebony Battleaxe of Fire	에보니 전투 도끼 - 상급 화염
Ebony Battleaxe of Freezing	에보니 전투 도끼 - 상급 냉기
Ebony Battleaxe of Garnering	에보니 전투 도끼 - 최상급 지구력 흡수
Ebony Battleaxe of Harvesting	에보니 전투 도끼 - 상급 지구력 흡수
Ebony Battleaxe of Immobilizing	에보니 전투 도끼 - 최상급 마비
Ebony Battleaxe of Leeching	에보니 전투 도끼 - 최상급 체력 흡수
Ebony Battleaxe of Lethargy	에보니 전투 도끼 - 최상급 지구력 피해
Ebony Battleaxe of Lightning	에보니 전투 도끼 - 최상급 전격
Ebony Battleaxe of Malediction	에보니 전투 도끼 - 최상급 소울 트랩
Ebony Battleaxe of Nullifying	에보니 전투 도끼 - 특급 매지카 피해
Ebony Battleaxe of Petrifying	에보니 전투 도끼 - 특급 마비
Ebony Battleaxe of Storms	에보니 전투 도끼 - 특급 전격
Ebony Battleaxe of Stunning	에보니 전투 도끼 - 상급 마비
Ebony Battleaxe of Subsuming	에보니 전투 도끼 - 특급 지구력 흡수
Ebony Battleaxe of Terror	에보니 전투 도끼 - 특급 공포
Ebony Battleaxe of the Blaze	에보니 전투 도끼 - 최상급 화염
Ebony Battleaxe of the Inferno	에보니 전투 도끼 - 특급 화염
Ebony Battleaxe of the Sorcerer	에보니 전투 도끼 - 특급 매지카 흡수
Ebony Battleaxe of the Vampire	에보니 전투 도끼 - 특급 체력 흡수
Ebony Battleaxe of Thunderbolts	에보니 전투 도끼 - 상급 전격
Ebony Battleaxe of Winnowing	에보니 전투 도끼 - 상급 매지카 흡수
Ebony Battleaxe of Winter	에보니 전투 도끼 - 특급 냉기
Ebony Blade	에보니 블레이드
Ebony Boots	에보니 전투화
Ebony Boots of Brawn	에보니 전투화 - 상급 운반 증가
Ebony Boots of Dwindling Flames	에보니 전투화 - 중급 화염 저항
Ebony Boots of Dwindling Frost	에보니 전투화 - 중급 냉기 저항
Ebony Boots of Dwindling Shock	에보니 전투화 - 중급 전격 저항
Ebony Boots of Eminent Stamina	에보니 전투화 - 상급 지구력 증가
Ebony Boots of Extreme Stamina	에보니 전투화 - 최상급 지구력 증가
Ebony Boots of Fire Abatement	에보니 전투화 - 최상급 화염 저항
Ebony Boots of Fire Suppression	에보니 전투화 - 상급 화염 저항
Ebony Boots of Frost Abatement	에보니 전투화 - 최상급 냉기 저항
Ebony Boots of Frost Suppression	에보니 전투화 - 상급 냉기 저항
Ebony Boots of Major Stamina	에보니 전투화 - 중급 지구력 증가
Ebony Boots of Muffling	에보니 전투화 - 소음 억제
Ebony Boots of Shock Abatement	에보니 전투화 - 최상급 전격 저항
Ebony Boots of Shock Suppression	에보니 전투화 - 상급 전격 저항
Ebony Boots of Strength	에보니 전투화 - 중급 운반 증가
Ebony Boots of the Ox	에보니 전투화 - 최상급 운반 증가
Ebony Bow	에보니 활
Ebony Bow of Animus	에보니 활 - 상급 소울 트랩
Ebony Bow of Annihilating	에보니 활 - 특급 추방
Ebony Bow of Banishing	에보니 활 - 상급 추방
Ebony Bow of Blizzards	에보니 활 - 최상급 냉기
Ebony Bow of Damnation	에보니 활 - 특급 소울 트랩
Ebony Bow of Debilitation	에보니 활 - 상급 지구력 피해
Ebony Bow of Depleting	에보니 활 - 상급 매지카 피해
Ebony Bow of Despair	에보니 활 - 상급 공포
Ebony Bow of Dread	에보니 활 - 최상급 공포
Ebony Bow of Enervating	에보니 활 - 최상급 매지카 피해
Ebony Bow of Exhaustion	에보니 활 - 특급 지구력 피해
Ebony Bow of Expelling	에보니 활 - 최상급 추방
Ebony Bow of Fire	에보니 활 - 상급 화염
Ebony Bow of Freezing	에보니 활 - 상급 냉기
Ebony Bow of Immobilizing	에보니 활 - 최상급 마비
Ebony Bow of Lethargy	에보니 활 - 최상급 지구력 피해
Ebony Bow of Lightning	에보니 활 - 최상급 전격
Ebony Bow of Malediction	에보니 활 - 최상급 소울 트랩
Ebony Bow of Nullifying	에보니 활 - 특급 매지카 피해
Ebony Bow of Petrifying	에보니 활 - 특급 마비
Ebony Bow of Storms	에보니 활 - 특급 전격
Ebony Bow of Stunning	에보니 활 - 상급 마비
Ebony Bow of Terror	에보니 활 - 특급 공포
Ebony Bow of the Blaze	에보니 활 - 최상급 화염
Ebony Bow of the Inferno	에보니 활 - 특급 화염
Ebony Bow of Thunderbolts	에보니 활 - 상급 전격
Ebony Bow of Winter	에보니 활 - 특급 냉기
Ebony Claw	에보니 발톱
Ebony Dagger	에보니 단검
Ebony Dagger of Animus	에보니 단검 - 상급 소울 트랩
Ebony Dagger of Annihilating	에보니 단검 - 특급 추방
Ebony Dagger of Banishing	에보니 단검 - 상급 추방
Ebony Dagger of Blizzards	에보니 단검 - 최상급 냉기
Ebony Dagger of Damnation	에보니 단검 - 특급 소울 트랩
Ebony Dagger of Debilitation	에보니 단검 - 상급 지구력 피해
Ebony Dagger of Depleting	에보니 단검 - 상급 매지카 피해
Ebony Dagger of Despair	에보니 단검 - 상급 공포
Ebony Dagger of Devouring	에보니 단검 - 상급 체력 흡수
Ebony Dagger of Dread	에보니 단검 - 최상급 공포
Ebony Dagger of Enervating	에보니 단검 - 최상급 매지카 피해
Ebony Dagger of Evoking	에보니 단검 - 최상급 매지카 흡수
Ebony Dagger of Exhaustion	에보니 단검 - 특급 지구력 피해
Ebony Dagger of Expelling	에보니 단검 - 최상급 추방
Ebony Dagger of Fire	에보니 단검 - 상급 화염
Ebony Dagger of Freezing	에보니 단검 - 상급 냉기
Ebony Dagger of Garnering	에보니 단검 - 최상급 지구력 흡수
Ebony Dagger of Harvesting	에보니 단검 - 상급 지구력 흡수
Ebony Dagger of Immobilizing	에보니 단검 - 최상급 마비
Ebony Dagger of Leeching	에보니 단검 - 최상급 체력 흡수
Ebony Dagger of Lethargy	에보니 단검 - 최상급 지구력 피해
Ebony Dagger of Lightning	에보니 단검 - 최상급 전격
Ebony Dagger of Malediction	에보니 단검 - 최상급 소울 트랩
Ebony Dagger of Nullifying	에보니 단검 - 특급 매지카 피해
Ebony Dagger of Petrifying	에보니 단검 - 특급 마비
Ebony Dagger of Storms	에보니 단검 - 특급 전격
Ebony Dagger of Stunning	에보니 단검 - 상급 마비
Ebony Dagger of Subsuming	에보니 단검 - 특급 지구력 흡수
Ebony Dagger of Terror	에보니 단검 - 특급 공포
Ebony Dagger of the Blaze	에보니 단검 - 최상급 화염
Ebony Dagger of the Inferno	에보니 단검 - 특급 화염
Ebony Dagger of the Sorcerer	에보니 단검 - 특급 매지카 흡수
Ebony Dagger of the Vampire	에보니 단검 - 특급 체력 흡수
Ebony Dagger of Thunderbolts	에보니 단검 - 상급 전격
Ebony Dagger of Winnowing	에보니 단검 - 상급 매지카 흡수
Ebony Dagger of Winter	에보니 단검 - 특급 냉기
Ebony Gauntlets	에보니 장갑
Ebony Gauntlets of Eminent Alchemy	에보니 장갑 - 상급 연금술
Ebony Gauntlets of Eminent Archery	에보니 장갑 - 상급 궁술
Ebony Gauntlets of Eminent Smithing	에보니 장갑 - 상급 제련
Ebony Gauntlets of Eminent Sure Grip	에보니 장갑 - 상급 양손무기
Ebony Gauntlets of Eminent Wielding	에보니 장갑 - 상급 한손무기
Ebony Gauntlets of Extreme Alchemy	에보니 장갑 - 최상급 연금술
Ebony Gauntlets of Extreme Archery	에보니 장갑 - 최상급 궁술
Ebony Gauntlets of Extreme Smithing	에보니 장갑 - 최상급 제련
Ebony Gauntlets of Extreme Sure Grip	에보니 장갑 - 최상급 양손무기
Ebony Gauntlets of Extreme Wielding	에보니 장갑 - 최상급 한손무기
Ebony Gauntlets of Major Alchemy	에보니 장갑 - 중급 연금술
Ebony Gauntlets of Major Archery	에보니 장갑 - 중급 궁술
Ebony Gauntlets of Major Smithing	에보니 장갑 - 중급 제련
Ebony Gauntlets of Major Sure Grip	에보니 장갑 - 중급 양손무기
Ebony Gauntlets of Major Wielding	에보니 장갑 - 중급 한손무기
Ebony Greatsword	에보니 대검
Ebony Greatsword of Animus	에보니 대검 - 상급 소울 트랩
Ebony Greatsword of Annihilating	에보니 대검 - 특급 추방
Ebony Greatsword of Banishing	에보니 대검 - 상급 추방
Ebony Greatsword of Blizzards	에보니 대검 - 최상급 냉기
Ebony Greatsword of Damnation	에보니 대검 - 특급 소울 트랩
Ebony Greatsword of Debilitation	에보니 대검 - 상급 지구력 피해
Ebony Greatsword of Depleting	에보니 대검 - 상급 매지카 피해
Ebony Greatsword of Despair	에보니 대검 - 상급 공포
Ebony Greatsword of Devouring	에보니 대검 - 상급 체력 흡수
Ebony Greatsword of Dread	에보니 대검 - 최상급 공포
Ebony Greatsword of Enervating	에보니 대검 - 최상급 매지카 피해
Ebony Greatsword of Evoking	에보니 대검 - 최상급 매지카 흡수
Ebony Greatsword of Exhaustion	에보니 대검 - 특급 지구력 피해
Ebony Greatsword of Expelling	에보니 대검 - 최상급 추방
Ebony Greatsword of Fire	에보니 대검 - 상급 화염
Ebony Greatsword of Freezing	에보니 대검 - 상급 냉기
Ebony Greatsword of Garnering	에보니 대검 - 최상급 지구력 흡수
Ebony Greatsword of Harvesting	에보니 대검 - 상급 지구력 흡수
Ebony Greatsword of Immobilizing	에보니 대검 - 최상급 마비
Ebony Greatsword of Leeching	에보니 대검 - 최상급 체력 흡수
Ebony Greatsword of Lethargy	에보니 대검 - 최상급 지구력 피해
Ebony Greatsword of Lightning	에보니 대검 - 최상급 전격
Ebony Greatsword of Malediction	에보니 대검 - 최상급 소울 트랩
Ebony Greatsword of Nullifying	에보니 대검 - 특급 매지카 피해
Ebony Greatsword of Petrifying	에보니 대검 - 특급 마비
Ebony Greatsword of Storms	에보니 대검 - 특급 전격
Ebony Greatsword of Stunning	에보니 대검 - 상급 마비
Ebony Greatsword of Subsuming	에보니 대검 - 특급 지구력 흡수
Ebony Greatsword of Terror	에보니 대검 - 특급 공포
Ebony Greatsword of the Blaze	에보니 대검 - 최상급 화염
Ebony Greatsword of the Inferno	에보니 대검 - 특급 화염
Ebony Greatsword of the Sorcerer	에보니 대검 - 특급 매지카 흡수
Ebony Greatsword of the Vampire	에보니 대검 - 특급 체력 흡수
Ebony Greatsword of Thunderbolts	에보니 대검 - 상급 전격
Ebony Greatsword of Winnowing	에보니 대검 - 상급 매지카 흡수
Ebony Greatsword of Winter	에보니 대검 - 특급 냉기
Ebony Helmet	에보니 투구
Ebony Helmet of Eminent Alchemy	에보니 투구 - 상급 연금술
Ebony Helmet of Eminent Alteration	에보니 투구 - 상급 변화마법
Ebony Helmet of Eminent Archery	에보니 투구 - 상급 궁술
Ebony Helmet of Eminent Conjuring	에보니 투구 - 상급 소환마법
Ebony Helmet of Eminent Destruction	에보니 투구 - 상급 파괴마법
Ebony Helmet of Eminent Illusion	에보니 투구 - 상급 환영마법
Ebony Helmet of Eminent Magicka	에보니 투구 - 상급 매지카 증가
Ebony Helmet of Eminent Restoration	에보니 투구 - 상급 회복마법
Ebony Helmet of Extreme Alchemy	에보니 투구 - 최상급 연금술
Ebony Helmet of Extreme Alteration	에보니 투구 - 최상급 변화마법
Ebony Helmet of Extreme Archery	에보니 투구 - 최상급 궁술
Ebony Helmet of Extreme Conjuring	에보니 투구 - 최상급 소환마법
Ebony Helmet of Extreme Destruction	에보니 투구 - 최상급 파괴마법
Ebony Helmet of Extreme Illusion	에보니 투구 - 최상급 환영마법
Ebony Helmet of Extreme Magicka	에보니 투구 - 최상급 매지카 증가
Ebony Helmet of Extreme Restoration	에보니 투구 - 최상급 회복마법
Ebony Helmet of Major Alchemy	에보니 투구 - 중급 연금술
Ebony Helmet of Major Alteration	에보니 투구 - 중급 변화마법
Ebony Helmet of Major Archery	에보니 투구 - 중급 궁술
Ebony Helmet of Major Conjuring	에보니 투구 - 중급 소환마법
Ebony Helmet of Major Destruction	에보니 투구 - 중급 파괴마법
Ebony Helmet of Major Illusion	에보니 투구 - 중급 환영마법
Ebony Helmet of Major Magicka	에보니 투구 - 중급 매지카 증가
Ebony Helmet of Major Restoration	에보니 투구 - 중급 회복마법
Ebony Helmet of Recharging	에보니 투구 - 중급 매지카 재생
Ebony Helmet of Replenishing	에보니 투구 - 상급 매지카 재생
Ebony Helmet of Resurgence	에보니 투구 - 최상급 매지카 재생
Ebony Helmet of Waterbreathing	에보니 투구 - 수중 호흡
Ebony Ingot	주괴 - 에보니
Ebony Mace	에보니 철퇴
Ebony Mace of Animus	에보니 철퇴 - 상급 소울 트랩
Ebony Mace of Annihilating	에보니 철퇴 - 특급 추방
Ebony Mace of Banishing	에보니 철퇴 - 상급 추방
Ebony Mace of Blizzards	에보니 철퇴 - 최상급 냉기
Ebony Mace of Damnation	에보니 철퇴 - 특급 소울 트랩
Ebony Mace of Debilitation	에보니 철퇴 - 상급 지구력 피해
Ebony Mace of Depleting	에보니 철퇴 - 상급 매지카 피해
Ebony Mace of Despair	에보니 철퇴 - 상급 공포
Ebony Mace of Devouring	에보니 철퇴 - 상급 체력 흡수
Ebony Mace of Dread	에보니 철퇴 - 최상급 공포
Ebony Mace of Enervating	에보니 철퇴 - 최상급 매지카 피해
Ebony Mace of Evoking	에보니 철퇴 - 최상급 매지카 흡수
Ebony Mace of Exhaustion	에보니 철퇴 - 특급 지구력 피해
Ebony Mace of Expelling	에보니 철퇴 - 최상급 추방
Ebony Mace of Fire	에보니 철퇴 - 상급 화염
Ebony Mace of Freezing	에보니 철퇴 - 상급 냉기
Ebony Mace of Garnering	에보니 철퇴 - 최상급 지구력 흡수
Ebony Mace of Harvesting	에보니 철퇴 - 상급 지구력 흡수
Ebony Mace of Immobilizing	에보니 철퇴 - 최상급 마비
Ebony Mace of Leeching	에보니 철퇴 - 최상급 체력 흡수
Ebony Mace of Lethargy	에보니 철퇴 - 최상급 지구력 피해
Ebony Mace of Lightning	에보니 철퇴 - 최상급 전격
Ebony Mace of Malediction	에보니 철퇴 - 최상급 소울 트랩
Ebony Mace of Nullifying	에보니 철퇴 - 특급 매지카 피해
Ebony Mace of Petrifying	에보니 철퇴 - 특급 마비
Ebony Mace of Storms	에보니 철퇴 - 특급 전격
Ebony Mace of Stunning	에보니 철퇴 - 상급 마비
Ebony Mace of Subsuming	에보니 철퇴 - 특급 지구력 흡수
Ebony Mace of Terror	에보니 철퇴 - 특급 공포
Ebony Mace of the Blaze	에보니 철퇴 - 최상급 화염
Ebony Mace of the Inferno	에보니 철퇴 - 특급 화염
Ebony Mace of the Sorcerer	에보니 철퇴 - 특급 매지카 흡수
Ebony Mace of the Vampire	에보니 철퇴 - 특급 체력 흡수
Ebony Mace of Thunderbolts	에보니 철퇴 - 상급 전격
Ebony Mace of Winnowing	에보니 철퇴 - 상급 매지카 흡수
Ebony Mace of Winter	에보니 철퇴 - 특급 냉기
Ebony Mail	에보니 메일
Ebony Ore	광석 - 에보니
Ebony Ore Vein	에보니 광맥
Ebony Shield	에보니 방패
Ebony Shield of Dwindling Fire	에보니 방패 - 중급 화염 저항
Ebony Shield of Dwindling Frost	에보니 방패 - 중급 냉기 저항
Ebony Shield of Dwindling Magic	에보니 방패 - 중급 마법 저항
Ebony Shield of Dwindling Shock	에보니 방패 - 중급 전격 저항
Ebony Shield of Eminent Blocking	에보니 방패 - 상급 방어
Ebony Shield of Extreme Blocking	에보니 방패 - 최상급 방어
Ebony Shield of Fire Abatement	에보니 방패 - 최상급 화염 저항
Ebony Shield of Fire Suppression	에보니 방패 - 상급 화염 저항
Ebony Shield of Frost Abatement	에보니 방패 - 최상급 냉기 저항
Ebony Shield of Frost Suppression	에보니 방패 - 상급 냉기 저항
Ebony Shield of Magic Abatement	에보니 방패 - 최상급 마법 저항
Ebony Shield of Magic Suppression	에보니 방패 - 상급 마법 저항
Ebony Shield of Major Blocking	에보니 방패 - 중급 방어
Ebony Shield of Shock Abatement	에보니 방패 - 최상급 전격 저항
Ebony Shield of Shock Suppression	에보니 방패 - 상급 전격 저항
Ebony Smithing	에보니 제련
Ebony Sword	에보니 검
Ebony Sword of Animus	에보니 검 - 상급 소울 트랩
Ebony Sword of Annihilating	에보니 검 - 특급 추방
Ebony Sword of Banishing	에보니 검 - 상급 추방
Ebony Sword of Blizzards	에보니 검 - 최상급 냉기
Ebony Sword of Damnation	에보니 검 - 특급 소울 트랩
Ebony Sword of Debilitation	에보니 검 - 상급 지구력 피해
Ebony Sword of Depleting	에보니 검 - 상급 매지카 피해
Ebony Sword of Despair	에보니 검 - 상급 공포
Ebony Sword of Devouring	에보니 검 - 상급 체력 흡수
Ebony Sword of Dread	에보니 검 - 최상급 공포
Ebony Sword of Enervating	에보니 검 - 최상급 매지카 피해
Ebony Sword of Evoking	에보니 검 - 최상급 매지카 흡수
Ebony Sword of Exhaustion	에보니 검 - 특급 지구력 피해
Ebony Sword of Expelling	에보니 검 - 최상급 추방
Ebony Sword of Fire	에보니 검 - 상급 화염
Ebony Sword of Freezing	에보니 검 - 상급 냉기
Ebony Sword of Garnering	에보니 검 - 최상급 지구력 흡수
Ebony Sword of Harvesting	에보니 검 - 상급 지구력 흡수
Ebony Sword of Immobilizing	에보니 검 - 최상급 마비
Ebony Sword of Leeching	에보니 검 - 최상급 체력 흡수
Ebony Sword of Lethargy	에보니 검 - 최상급 지구력 피해
Ebony Sword of Lightning	에보니 검 - 최상급 전격
Ebony Sword of Malediction	에보니 검 - 최상급 소울 트랩
Ebony Sword of Nullifying	에보니 검 - 특급 매지카 피해
Ebony Sword of Petrifying	에보니 검 - 특급 마비
Ebony Sword of Storms	에보니 검 - 특급 전격
Ebony Sword of Stunning	에보니 검 - 상급 마비
Ebony Sword of Subsuming	에보니 검 - 특급 지구력 흡수
Ebony Sword of Terror	에보니 검 - 특급 공포
Ebony Sword of the Blaze	에보니 검 - 최상급 화염
Ebony Sword of the Inferno	에보니 검 - 특급 화염
Ebony Sword of the Sorcerer	에보니 검 - 특급 매지카 흡수
Ebony Sword of the Vampire	에보니 검 - 특급 체력 흡수
Ebony Sword of Thunderbolts	에보니 검 - 상급 전격
Ebony Sword of Winnowing	에보니 검 - 상급 매지카 흡수
Ebony Sword of Winter	에보니 검 - 특급 냉기
Ebony War Axe	에보니 도끼
Ebony War Axe of Animus	에보니 도끼 - 상급 소울 트랩
Ebony War Axe of Annihilating	에보니 도끼 - 특급 추방
Ebony War Axe of Banishing	에보니 도끼 - 상급 추방
Ebony War Axe of Blizzards	에보니 도끼 - 최상급 냉기
Ebony War Axe of Damnation	에보니 도끼 - 특급 소울 트랩
Ebony War Axe of Debilitation	에보니 도끼 - 상급 지구력 피해
Ebony War Axe of Depleting	에보니 도끼 - 상급 매지카 피해
Ebony War Axe of Despair	에보니 도끼 - 상급 공포
Ebony War Axe of Devouring	에보니 도끼 - 상급 체력 흡수
Ebony War Axe of Dread	에보니 도끼 - 최상급 공포
Ebony War Axe of Enervating	에보니 도끼 - 최상급 매지카 피해
Ebony War Axe of Evoking	에보니 도끼 - 최상급 매지카 흡수
Ebony War Axe of Exhaustion	에보니 도끼 - 특급 지구력 피해
Ebony War Axe of Expelling	에보니 도끼 - 최상급 추방
Ebony War Axe of Fire	에보니 도끼 - 상급 화염
Ebony War Axe of Freezing	에보니 도끼 - 상급 냉기
Ebony War Axe of Garnering	에보니 도끼 - 최상급 지구력 흡수
Ebony War Axe of Harvesting	에보니 도끼 - 상급 지구력 흡수
Ebony War Axe of Immobilizing	에보니 도끼 - 최상급 마비
Ebony War Axe of Leeching	에보니 도끼 - 최상급 체력 흡수
Ebony War Axe of Lethargy	에보니 도끼 - 최상급 지구력 피해
Ebony War Axe of Lightning	에보니 도끼 - 최상급 전격
Ebony War Axe of Malediction	에보니 도끼 - 최상급 소울 트랩
Ebony War Axe of Nullifying	에보니 도끼 - 특급 매지카 피해
Ebony War Axe of Petrifying	에보니 도끼 - 특급 마비
Ebony War Axe of Storms	에보니 도끼 - 특급 전격
Ebony War Axe of Stunning	에보니 도끼 - 상급 마비
Ebony War Axe of Subsuming	에보니 도끼 - 특급 지구력 흡수
Ebony War Axe of Terror	에보니 도끼 - 특급 공포
Ebony War Axe of the Blaze	에보니 도끼 - 최상급 화염
Ebony War Axe of the Inferno	에보니 도끼 - 특급 화염
Ebony War Axe of the Sorcerer	에보니 도끼 - 특급 매지카 흡수
Ebony War Axe of the Vampire	에보니 도끼 - 특급 체력 흡수
Ebony War Axe of Thunderbolts	에보니 도끼 - 상급 전격
Ebony War Axe of Winnowing	에보니 도끼 - 상급 매지카 흡수
Ebony War Axe of Winter	에보니 도끼 - 특급 냉기
Ebony Warhammer	에보니 전투 망치
Ebony Warhammer of Animus	에보니 전투 망치 - 상급 소울 트랩
Ebony Warhammer of Annihilating	에보니 전투 망치 - 특급 추방
Ebony Warhammer of Banishing	에보니 전투 망치 - 상급 추방
Ebony Warhammer of Blizzards	에보니 전투 망치 - 최상급 냉기
Ebony Warhammer of Damnation	에보니 전투 망치 - 특급 소울 트랩
Ebony Warhammer of Debilitation	에보니 전투 망치 - 상급 지구력 피해
Ebony Warhammer of Depleting	에보니 전투 망치 - 상급 매지카 피해
Ebony Warhammer of Despair	에보니 전투 망치 - 상급 공포
Ebony Warhammer of Devouring	에보니 전투 망치 - 상급 체력 흡수
Ebony Warhammer of Dread	에보니 전투 망치 - 최상급 공포
Ebony Warhammer of Enervating	에보니 전투 망치 - 최상급 매지카 피해
Ebony Warhammer of Evoking	에보니 전투 망치 - 최상급 매지카 흡수
Ebony Warhammer of Exhaustion	에보니 전투 망치 - 특급 지구력 피해
Ebony Warhammer of Expelling	에보니 전투 망치 - 최상급 추방
Ebony Warhammer of Fire	에보니 전투 망치 - 상급 화염
Ebony Warhammer of Freezing	에보니 전투 망치 - 상급 냉기
Ebony Warhammer of Garnering	에보니 전투 망치 - 최상급 지구력 흡수
Ebony Warhammer of Harvesting	에보니 전투 망치 - 상급 지구력 흡수
Ebony Warhammer of Immobilizing	에보니 전투 망치 - 최상급 마비
Ebony Warhammer of Leeching	에보니 전투 망치 - 최상급 체력 흡수
Ebony Warhammer of Lethargy	에보니 전투 망치 - 최상급 지구력 피해
Ebony Warhammer of Lightning	에보니 전투 망치 - 최상급 전격
Ebony Warhammer of Malediction	에보니 전투 망치 - 최상급 소울 트랩
Ebony Warhammer of Nullifying	에보니 전투 망치 - 특급 매지카 피해
Ebony Warhammer of Petrifying	에보니 전투 망치 - 특급 마비
Ebony Warhammer of Storms	에보니 전투 망치 - 특급 전격
Ebony Warhammer of Stunning	에보니 전투 망치 - 상급 마비
Ebony Warhammer of Subsuming	에보니 전투 망치 - 특급 지구력 흡수
Ebony Warhammer of Terror	에보니 전투 망치 - 특급 공포
Ebony Warhammer of the Blaze	에보니 전투 망치 - 최상급 화염
Ebony Warhammer of the Inferno	에보니 전투 망치 - 특급 화염
Ebony Warhammer of the Sorcerer	에보니 전투 망치 - 특급 매지카 흡수
Ebony Warhammer of the Vampire	에보니 전투 망치 - 특급 체력 흡수
Ebony Warhammer of Thunderbolts	에보니 전투 망치 - 상급 전격
Ebony Warhammer of Winnowing	에보니 전투 망치 - 상급 매지카 흡수
Ebony Warhammer of Winter	에보니 전투 망치 - 특급 냉기
Ebony Warrior	에보니 전사
Ebony Warrior's Camp	에보니 전사의 야영지
Ebonyflesh	에보니 피부
Ectoplasm	심령체
Edda	에다
Edith	이디스
Editor Smoke Test Cell	테스팅 룸
Edla	에들라
Edla's House	에들라의 집
Edla's House Key	열쇠 - 에들라의 집
Edorfin	이도르핀
Eduj	에듀즈
